key,counts,ststa_ucount,ensta_ucount,br,ut_sub,ut_cu,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2017 9 10,60711,599,600,1980.6676956821966,47513,13198,33,5.043749999999999,6.7,16069.75,16093.0,18.471874999999997,23.9,0.0,0.0
2017 11 10,38432,722,727,1978.886675544202,36937,1495,37,8.522222222222226,12.9,15827.138888888889,16093.0,6.525,12.2,0.0,0.0
2014 2 27,12036,326,326,1974.661930385068,11894,142,36,5.6485714285714295,10.8,14934.114285714286,16093.0,-3.422857142857143,1.0,0.05,0.8
2014 3 23,11740,329,329,1976.8881245820196,10467,1273,34,6.2424242424242395,8.2,16070.454545454546,16093.0,6.296969696969697,14.4,0.0,0.0
2014 3 29,4480,323,325,1976.07370659107,4233,247,39,4.436842105263157,8.8,11688.473684210527,16093.0,8.397368421052631,10.0,1.44,8.0
2014 8 30,22689,324,322,1977.1184871889175,16317,6372,33,3.531250000000001,6.7,16069.75,16093.0,21.793749999999992,25.0,0.0,0.0
2017 7 6,62147,613,615,1979.1965347495457,56029,6118,33,3.593749999999999,5.7,15806.125,16093.0,22.559374999999996,24.4,0.0,0.0
2017 8 28,60886,614,615,1979.4954760956896,54801,6085,33,4.41875,8.8,16069.75,16093.0,20.228124999999995,25.0,0.0,0.0
2014 8 1,32654,323,320,1976.2425926557332,29331,3323,35,4.749999999999997,8.8,15976.470588235294,16093.0,23.95588235294117,27.8,0.0,0.0
2017 1 19,36561,600,600,1976.7361872985352,35520,890,38,4.070270270270269,6.7,16029.405405405405,16093.0,6.402702702702704,12.2,0.092,2.3
2017 10 26,64003,734,736,1979.132050365097,60359,3644,33,5.834374999999998,8.2,16069.75,16093.0,13.734375000000004,16.7,0.0,0.0
2016 11 5,48689,586,587,1979.128911529265,37799,9798,33,5.0437499999999975,6.7,16069.75,16093.0,12.065625,17.8,0.0,0.0
2017 4 29,57701,593,598,1979.9157029041378,41257,16444,39,4.423684210526315,10.8,13386.184210526315,16093.0,20.068421052631578,29.4,0.3709677419354839,4.0
2014 1 20,13407,328,327,1975.455123729734,12891,516,33,6.61875,10.3,16069.75,16093.0,4.221875,8.3,0.0,0.0
2016 10 4,60379,595,597,1978.1300602312738,56011,3911,35,3.905882352941177,7.7,14588.70588235294,16093.0,18.029411764705877,21.1,0.0,0.0
2017 9 16,61036,619,622,1980.6121658505258,47743,13293,44,2.6348837209302314,5.7,10608.441860465116,16093.0,22.62558139534884,26.1,0.0,0.0
2017 10 5,70174,687,693,1979.0934948118131,65055,5119,33,5.662499999999998,7.7,16069.75,16093.0,20.878125000000004,27.2,0.0,0.0
2017 10 15,56529,711,713,1980.5872947090177,45013,11516,42,4.15121951219512,7.7,9497.780487804877,16093.0,19.80000000000001,22.8,0.0375,0.3
2014 1 28,10033,322,322,1974.8872421389947,9986,47,33,6.040624999999999,9.8,16069.75,16093.0,-6.8531249999999995,-1.7,0.0,0.0
2016 11 21,32972,587,592,1977.3764888337469,32412,451,33,11.043750000000003,15.4,15705.5625,16093.0,4.346874999999999,5.6,0.215625,6.9
2017 3 10,18412,597,595,1977.3379868151349,18129,222,44,6.872093023255811,13.4,9979.279069767443,16093.0,4.03720930232558,12.2,0.49729729729729727,6.0
2014 6 3,29501,323,322,1975.1554046614058,27248,2253,33,3.8124999999999996,7.2,16069.75,16093.0,20.940624999999994,26.7,0.0,0.0
2017 1 21,26610,594,595,1978.4799521491625,24254,2156,40,3.3743589743589726,5.1,7788.410256410257,16093.0,6.805128205128206,8.3,0.2275862068965517,2.0
2017 10 27,69268,734,735,1979.1232422834858,62765,6503,33,4.5156249999999964,7.2,16069.75,16093.0,12.03125,15.6,0.0,0.0
2017 11 21,52451,722,723,1978.0368772304776,49900,2551,33,7.381249999999997,9.8,16069.75,16093.0,8.75,13.9,0.0,0.0
2014 4 14,28832,327,327,1975.5140782852534,26033,2799,34,9.433333333333334,15.4,15863.575757575758,16093.0,13.442424242424247,18.3,0.0,0.0
2014 4 21,27124,326,326,1975.4863410093487,24709,2415,33,2.6656249999999995,4.6,16069.75,16093.0,8.925000000000002,13.9,0.0,0.0
2017 4 16,48140,593,598,1980.0341984361214,31013,17127,35,5.56176470588235,8.2,13849.29411764706,16093.0,18.220588235294116,27.8,0.017241379310344827,0.3
2017 10 19,72311,723,725,1978.9896192216663,66777,5534,33,4.387499999999999,7.2,16069.75,16093.0,15.928124999999998,20.6,0.0,0.0
2017 4 8,35936,592,592,1979.4412155871792,29356,6580,33,8.643749999999997,11.8,16069.75,16093.0,8.421875,14.4,0.0,0.0
2017 5 15,54715,603,604,1978.4057737310968,50551,4164,33,9.256250000000003,12.9,16069.75,16093.0,16.165625000000002,20.6,0.031034482758620686,0.3
2017 5 20,47859,601,604,1979.7890183890183,37075,10784,34,5.669696969696968,9.3,16070.454545454546,16093.0,18.427272727272733,31.7,0.0,0.0
2017 9 2,37812,605,605,1979.916116179092,26571,11241,33,4.1031249999999995,6.2,16069.75,16093.0,16.971875,20.0,0.04,1.0
2014 4 2,22515,326,327,1974.9941934893927,21872,643,33,2.49375,5.1,16069.75,16093.0,6.300000000000001,8.3,0.06153846153846154,0.8
2014 5 24,16798,321,320,1976.4356951359632,13054,3744,40,3.7589743589743567,7.2,14744.76923076923,16093.0,15.997435897435894,20.0,1.0205882352941178,8.1
2016 11 29,14588,591,593,1978.213028046489,14445,108,43,6.971428571428573,11.3,9848.166666666666,16093.0,13.035714285714281,15.0,2.2916666666666665,17.0
2014 3 10,17231,330,330,1974.8163240846168,16687,544,36,5.028571428571426,9.8,15106.2,16093.0,5.1914285714285695,10.6,0.0,0.0
2014 5 21,34420,324,322,1975.252096601299,31719,2701,33,3.9468749999999977,5.7,16069.75,16093.0,20.603124999999995,23.3,0.0,0.0
2016 11 27,24077,588,590,1977.940339174144,21207,2570,33,6.224999999999997,8.8,16069.75,16093.0,7.378125000000001,11.1,0.0,0.0
2017 6 3,56264,603,603,1979.9811179955677,42459,13805,33,5.3031250000000005,9.3,15844.1875,16093.0,18.918749999999996,23.9,0.05925925925925926,0.5
2017 11 30,51700,727,727,1978.3547795599259,50006,1694,34,3.2848484848484834,6.7,16070.454545454546,16093.0,6.4363636363636365,10.6,0.0,0.0
2014 2 23,13324,326,326,1976.8252124884289,11883,1441,33,2.8218749999999995,5.7,16069.75,16093.0,6.803124999999999,12.8,0.0,0.0
2016 11 15,22896,590,593,1978.4518339379283,22485,342,46,6.135555555555559,11.8,10867.533333333333,16093.0,10.304444444444442,12.8,2.341025641025641,23.0
2017 1 20,26752,601,601,1976.9991171842014,26234,441,38,2.8621621621621607,4.6,15594.486486486487,16093.0,6.356756756756752,7.8,0.08518518518518518,1.0
2017 4 25,20332,593,593,1977.6915878291998,19536,796,47,7.17826086956522,10.3,11933.630434782608,16093.0,12.132608695652175,14.0,0.7733333333333334,5.3
2016 10 14,60566,598,602,1978.0065736615295,54622,5286,33,5.062499999999998,8.8,16069.75,16093.0,13.250000000000002,17.2,0.03333333333333333,0.3
2017 1 25,36931,601,603,1976.9620203711456,36040,769,35,7.444117647058819,11.8,15782.058823529413,16093.0,5.68529411764706,10.0,2.2,31.0
2017 3 18,4106,283,505,1978.7124365482234,3934,139,41,4.617499999999998,7.2,12595.95,16093.0,2.325,4.4,0.0911764705882353,0.8
2017 10 6,70257,687,690,1979.227013027782,63373,6884,33,4.090624999999998,6.2,15743.625,16093.0,22.19375,26.7,0.0,0.0
2017 11 16,49737,721,725,1978.743380086798,48042,1695,37,6.708333333333332,9.8,15162.638888888889,16093.0,11.163888888888888,13.9,0.4636363636363637,3.0
2014 1 21,3804,312,311,1974.1288700714474,3779,25,44,7.004651162790695,10.3,7399.418604651163,16093.0,-3.969767441860466,5.6,0.25,2.0
2016 11 26,23811,588,589,1977.3391160054307,19449,3760,35,4.564705882352943,8.8,15202.588235294117,16093.0,9.726470588235296,12.0,0.0,0.0
2017 7 21,60072,612,614,1979.5347090899077,53662,6410,33,4.878124999999998,8.2,15969.1875,16093.0,29.971874999999997,34.4,0.0,0.0
2017 11 24,23724,718,720,1977.6420608763087,20272,3452,33,3.643749999999998,6.2,16069.75,16093.0,4.53125,8.9,0.0,0.0
2014 3 7,13304,330,327,1974.6110940851977,13052,252,36,4.5457142857142845,7.2,15469.085714285715,16093.0,-0.8971428571428571,2.0,0.0,0.0
2014 7 9,34426,324,323,1975.9280546118032,31790,2636,33,6.812499999999997,14.4,15906.6875,16093.0,24.753124999999997,28.3,0.0,0.0
2017 8 5,58971,614,615,1980.561445353425,42576,16395,41,5.602499999999997,9.3,15068.6,16093.0,24.410000000000004,27.2,0.5700000000000001,7.0
